Counterparty	Amount	Rate	Type	Start	End	Profile
Barclays Bank UK PLC	5,000,000	4.35%	Fixed deposit	15/06/2026	15/12/2026	
Lloyds Bank plc	5,000,000	4.30%	Fixed deposit	01/07/2026	04/01/2027	
Santander UK	3,000,000	4.10%	95 day notice	01/05/2026		
NatWest	4,000,000	4.05%	Call account			
Nationwide Building Society	5,000,000	4.40%	Fixed deposit	10/08/2026	10/08/2027	
Coventry Building Society	3,000,000	4.32%	Fixed deposit	20/07/2026	20/04/2027	
Skipton BS	2,000,000	4.28%	Fixed deposit	02/09/2026	02/03/2027	
Leeds Building Society	2,000,000	4.30%	Fixed deposit	14/09/2026	14/09/2027	
Bank of Scotland	3,000,000	4.12%	Fixed deposit	03/08/2026	03/02/2027	
Standard Chartered Bank	2,000,000	4.18%	Fixed deposit	18/08/2026	18/11/2026	
Goldman Sachs International Bank	4,000,000	4.25%	Fixed deposit	01/09/2026	01/09/2027	
Close Brothers	2,000,000	4.55%	Fixed deposit	09/06/2026	09/06/2027	
Handelsbanken plc	3,000,000	4.00%	Call account			
Toronto-Dominion Bank	3,000,000	4.20%	Fixed deposit	22/07/2026	22/01/2027	
ANZ Banking Group	3,000,000	4.15%	Fixed deposit	05/08/2026	05/05/2027	
Aberdeen Sterling Liquidity Fund	8,000,000	4.02%	MMF			
Federated Hermes Sterling Prime	6,000,000	4.01%	MMF			
CCLA Public Sector Deposit Fund	5,000,000	3.98%	MMF			
DMADF	2,500,000	3.95%	Deposit	14/09/2026	28/09/2026	
Thurrock Council	5,000,000	4.50%	Loan to local authority	01/03/2026	01/03/2027	
Woking Borough Council	3,000,000	4.60%	Loan to local authority	15/04/2026	15/10/2026	
CCLA LAMIT Property Fund	5,000,000	4.10%	Property fund	01/04/2019		
Barclays LOBO	10,000,000	4.50%	LOBO borrowing	01/06/2005	01/06/2055	Maturity
Dexia Credit Local LOBO	5,000,000	4.35%	LOBO borrowing	15/03/2006	15/03/2056	Maturity
Greater Manchester Combined Authority	10,000,000	4.80%	Borrowing from local authority	01/04/2026	01/04/2027	Maturity
Phoenix Life	20,000,000	3.10%	Market loan borrowing	30/09/2021	30/09/2061	Annuity
